Año,Tipo de Institución,Institución,Unidad Académica,Carrera,Título,Gestión,Nivel de la Oferta,Total de Estudiantes,Estudiantes Varones,Estudiantes Mujeres,Total de Nuevos Inscriptos,Nuevos Inscriptos Varones,Nuevas Inscriptas Mujeres,Total de Reinscriptos,Reinscriptos Varones,Reinscriptos Mujeres,Total de Egresados,Egresados Varones,Egresados Mujeres,
2010,Universidad                                       ,Universidad CAECE,Departamento de Sistemas,"Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Privada                                           ,Grado               ,30,29,1,1,1,,29,28,1,6,6,,
2010,Universidad                                       ,Universidad Nacional de Córdoba,"Facultad de Matemáticas, Astronomía y Física","Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,625,497,128,161,123,38,464,374,90,13,12,1,
2010,Universidad                                       ,Universidad Nacional de Rosario,"Facultad de Ciencias Exactas, Ingeniería y Agrimensura","Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,298,260,38,60,55,5,238,205,33,20,20,,
2010,Universidad                                       ,Universidad Nacional de Río Cuarto,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales","Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,259,216,43,62,51,11,197,165,32,11,9,2,
2010,Universidad                                       ,Universidad Nacional de San Juan,"Facultad de Ciencias Exactas, Físicas y Naturales","Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,340,273,67,107,92,15,233,181,52,,,,
2010,Universidad                                       ,Universidad Nacional de San Luis,Facultad de Cs. Físico-Matemáticas y Naturales,"Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,353,261,92,99,82,17,254,179,75,5,2,3,
2010,Universidad                                       ,Universidad Nacional del Comahue,Facultad de Economía y Administración,"Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,298,227,71,77,64,13,221,163,58,6,3,3,
2010,Universidad                                       ,Universidad Nacional del Sur,Departamento de Ciencias de la Computación,"Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,411,310,101,65,54,11,346,256,90,13,11,2,
2010,Universidad                                       ,Universidad de Buenos Aires,Facultad de Ciencias Exactas y Naturales,"Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,"1,803",,,431,,,"1,372",,,37,,,
2011,Universidad                                       ,Universidad CAECE,Departamento de Sistemas,"Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Privada                                           ,Grado               ,21,21,,,,,21,21,,2,2,,
2011,Universidad                                       ,Universidad Nacional de Córdoba,"Facultad de Matemáticas, Astronomía y Física","Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,663,540,123,200,160,40,463,380,83,11,10,1,
2011,Universidad                                       ,Universidad Nacional de Rosario,"Facultad de Ciencias Exactas, Ingeniería y Agrimensura","Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,292,257,35,64,55,9,228,202,26,21,20,1,
2011,Universidad                                       ,Universidad Nacional de Río Cuarto,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales","Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,248,212,36,59,56,3,189,156,33,11,9,2,
2011,Universidad                                       ,Universidad Nacional de San Juan,"Facultad de Ciencias Exactas, Físicas y Naturales","Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,378,302,76,133,108,25,245,194,51,1,,1,
2011,Universidad                                       ,Universidad Nacional de San Luis,Facultad de Cs. Físico-Matemáticas y Naturales,"Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,297,225,72,60,54,6,237,171,66,6,3,3,
2011,Universidad                                       ,Universidad Nacional del Comahue,Facultad de Informática,"Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,361,280,81,115,92,23,246,188,58,3,,3,
2011,Universidad                                       ,Universidad Nacional del Sur,Departamento de Ciencias de la Computación,"Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,401,316,85,90,77,13,311,239,72,35,23,12,
2011,Universidad                                       ,Universidad de Buenos Aires,Facultad de Ciencias Exactas y Naturales,"Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,"2,350","1,979",371,400,345,55,"1,950","1,634",316,26,25,1,
2012,Universidad                                       ,Universidad CAECE,Departamento de Sistemas,"Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Privada                                           ,Grado               ,15,15,,,,,15,15,,2,2,,
2012,Universidad                                       ,Universidad Nacional de Córdoba,"Facultad de Matemáticas, Astronomía y Física","Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,706,574,132,195,157,38,511,417,94,13,13,,
2012,Universidad                                       ,Universidad Nacional de Rosario,"Facultad de Ciencias Exactas, Ingeniería y Agrimensura","Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,302,257,45,86,76,10,216,181,35,17,14,3,
2012,Universidad                                       ,Universidad Nacional de Río Cuarto,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales","Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,248,209,39,67,58,9,181,151,30,2,2,,
2012,Universidad                                       ,Universidad Nacional de San Juan,"Facultad de Ciencias Exactas, Físicas y Naturales","Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,486,404,82,99,88,11,387,316,71,,,,
2012,Universidad                                       ,Universidad Nacional de San Luis,Facultad de Cs. Físico-Matemáticas y Naturales,"Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,225,159,66,25,16,9,200,143,57,11,5,6,
2012,Universidad                                       ,Universidad Nacional del Comahue,Facultad de Informática,"Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,383,299,84,115,92,23,268,207,61,12,11,1,
2012,Universidad                                       ,Universidad Nacional del Sur,Departamento de Ciencias de la Computación,"Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,353,272,81,65,50,15,288,222,66,23,11,12,
2012,Universidad                                       ,Universidad de Buenos Aires,Facultad de Ciencias Exactas y Naturales,"Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,"2,286","1,933",353,372,326,46,"1,914","1,607",307,36,34,2,
2013,Universidad                                       ,Universidad CAECE,Departamento de Sistemas,"Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Privada                                           ,Grado               ,12,12,,,,,12,12,,3,3,,
2013,Universidad                                       ,Universidad Nacional de Córdoba,"Facultad de Matemáticas, Astronomía y Física","Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,695,574,121,178,150,28,517,424,93,30,29,1,
2013,Universidad                                       ,Universidad Nacional de Rosario,"Facultad de Ciencias Exactas, Ingeniería y Agrimensura","Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,315,273,42,64,54,10,251,219,32,6,5,1,
2013,Universidad                                       ,Universidad Nacional de Río Cuarto,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales","Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,239,201,38,40,34,6,199,167,32,13,13,,
2013,Universidad                                       ,Universidad Nacional de San Juan,"Facultad de Ciencias Exactas, Físicas y Naturales","Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,456,384,72,102,86,16,354,298,56,1,1,,
2013,Universidad                                       ,Universidad Nacional de San Luis,Facultad de Cs. Físico-Matemáticas y Naturales,"Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,220,167,53,39,31,8,181,136,45,12,9,3,
2013,Universidad                                       ,Universidad Nacional del Comahue,Facultad de Informática,"Computación, Sistemas e Informática",Licenciatura en Ciencias de la Computación,Estatal                                           ,Grado               ,556,449,107,279,236,43,277,213,64,6,5,1,
